Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	SRR9161485	SRR9161486	SRR9161487	SRR9161488	SRR9161489	SRR9161490	SRR9161491	SRR9161492	SRR9161493	SRR9161494	SRR9161495	SRR9161496	SRR9161497	SRR9161498	SRR9161499	SRR9161500	SRR9161501	SRR9161502	SRR9161503	SRR9161504	SRR9161505	SRR9161506	SRR9161507	SRR9161508	SRR9161509	SRR9161510	SRR9161511	SRR9161512	SRR9161513	SRR9161514	SRR9161515	SRR9161516	SRR9161517	SRR9161518	SRR9161519	SRR9161520	SRR9161521	SRR9161522	SRR9161523	SRR9161524	SRR9161525	SRR9161526	SRR9161527	SRR9161528	SRR9161529	SRR9161530	SRR9161531	SRR9161532	SRR9161533	SRR9161534	SRR9161535	SRR9161536	SRR9161537	SRR9161538	SRR9161539	SRR9161540	SRR9161541	SRR9161542	SRR9161543	SRR9161544	SRR9161545	SRR9161546	SRR9161547	SRR9161548	SRR9161549	SRR9161550	SRR9161551	SRR9161552	SRR9161553	SRR9161554	SRR9161555	SRR9161556	SRR9161557	SRR9161558	SRR9161559	SRR9161560	SRR9161561	SRR9161562	SRR9161563	SRR9161564	SRR9161565	SRR9161566	SRR9161567	SRR9161568	SRR9161569	SRR9161570	SRR9161571	SRR9161572	SRR9161573	SRR9161574	SRR9161575	SRR9161576	SRR9161577	SRR9161578	SRR9161579	SRR9161580	SRR9161581	SRR9161582	SRR9161583	SRR9161584	SRR9161585	SRR9161586	SRR9161587	SRR9161588	SRR9161589	SRR9161590	SRR9161591	SRR9161592	SRR9161593	SRR9161594	SRR9161595	SRR9161596	SRR9161597	SRR9161598	SRR9161599	SRR9161600	SRR9161601	SRR9161602	SRR9161603	SRR9161604	SRR9161605	SRR9161606	SRR9161607	SRR9161608	SRR9161609	SRR9161610	SRR9161611	SRR9161612	SRR9161613	SRR9161614	SRR9162899	SRR9162900	SRR9162901	SRR9162902	SRR9162903	SRR9162904	SRR9162905	SRR9162906	SRR9162907	SRR9162908
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Oscillospirales|family_f__CAG-382|genus_g__UMGS882|species_s__UMGS882 sp900757905	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000012|family_3000820|genus_3002305|species_3015432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.81456678708952e-07	0	0	0	0	0	4.33056288827356e-05	0.000134518883977267	0	8.97165411708589e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09261629888006e-06	0	0	0	0	0	7.85214782098296e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45764820157437e-06	0	0	0	0	7.00938720933796e-06	0	0	0	0	0	0	0	0	0	0	0	0	2.71397385939611e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.16075024784871e-07	0	0	0	0	0	3.39484787773011e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88890939309216e-05	0	0	0	0	0	2.81750504228331e-05	0.000116091937617027	2.63671897553965e-05	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Lachnospirales|family_f__Lachnospiraceae|genus_g__Dorea|species_s__Dorea formicigenerans	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000007|family_3000008|genus_3015434|species_3015435	0	0	0	0	0	1.64821382044283e-05	0	0	0	0	0	0	0	0	0	0	1.23372743488507e-05	1.8662814195992e-05	3.15871970002326e-05	3.89716975320685e-05	4.53978196006504e-05	5.17694130801746e-05	8.37708741702145e-06	0	2.21126840264477e-05	0	0	0	0	0	0	0	0	0	3.53390466595491e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.60948615460659e-06	0	0	0	0	0	0	0	0	0	0	0	0	3.04558288649895e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.25615186548047e-06	0	0	0	0	3.2150380796244e-06	2.68329619835972e-06	0	2.04413058616868e-05	0	0	0	0	0	0	1.91274184946224e-05	0	0	0	6.64190114885621e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	6.17425729276132e-05	9.91330934089954e-05	5.17849119251579e-05	0.000436034522211885	0.000563342132487759	0.000196748549984246	6.45184664121196e-05	0.00039383675361786	0.000210218615632481	0.000600123459273885
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Lachnospirales|family_f__Lachnospiraceae|genus_g__Blautia_A|species_s__Blautia_A wexlerae	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000007|family_3000008|genus_3001195|species_3015444	0	0	0	0	0	4.47448431538887e-05	0	0	0	0	0	0	0	0	0	8.12047641894927e-06	0.000526504778067021	0.00115738394090905	0.000245090049704702	0.000693170986078511	0.000466799309476032	0.000789176626314396	0.000300917907371947	0	0.000469039362474738	6.06654084799981e-06	0	0	0	7.22109542774256e-06	0	0	0	5.72845389672455e-06	0.000180713525923991	0.000137322552636213	0	0	1.11917253724225e-05	0	8.36449616268797e-06	0	0	0	0	0	9.42394876731203e-05	0	0	0	6.60429045962336e-05	0	3.5436014540381e-06	0	0	1.72783799839371e-06	0	1.91405797813445e-05	0	0	0	0	1.86201730494861e-06	0	0	0	4.69830703685299e-05	0	0	9.21450078714104e-06	0.000527432961771475	0.000160898596942248	0	3.03224688886869e-05	0	0	0	3.12308737669369e-06	0	0	0	0	0	0	4.67400518743618e-05	0	0	5.81830225579505e-06	1.01257832103592e-06	0	0	0	0	0	0.000195863956627799	0	0	1.8811274938566e-05	2.15765292239687e-05	0	0	0	0.000121838429851905	3.59382847163225e-05	5.3026996427393e-06	0.000131483068581925	7.29166790983021e-06	0	1.10237668216874e-05	6.76994656459862e-06	0	4.95992797014628e-05	0.000297291166205098	1.2128400208983e-05	0	0	0.000144817782707988	0	0	0	0	0.000221763077313116	0	0	0	0	0	0	0	0	0.00124922515904509	0.0027874066719472	0.00168617791822752	0.00304661389516146	0.015115064088735	0.00113982475574293	0.00113935073640173	0.00656836331451972	0.00394667697702003	0.00504079479621609
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Lachnospirales|family_f__Lachnospiraceae|genus_g__Blautia_A|species_s__MGYG000001338	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000007|family_3000008|genus_3001195|species_3015473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66331677001897e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53638326208844e-05	8.44344992600334e-05	0	0	0	0	0.000225616953364974
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacteroidota|class_c__Bacteroidia|order_o__Bacteroidales|family_f__UBA932|genus_g__Cryptobacteroides|species_s__Cryptobacteroides sp900545245	root_1|no rank_131567|superkingdom_2|phylum_3000093|class_3000094|order_3000095|family_3000193|genus_3000194|species_3015532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42881833279828e-07	0	3.18378235981725e-05	0.000265415707994893	1.57549974145354e-06	0.000157444388662145	2.06376249381902e-05	2.74161629529979e-06	0	9.17827456156296e-06	1.48893086276623e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18448766591161e-07	0	1.26726818583029e-05	0	0	2.98270252415472e-06	6.64029328475113e-06	0	0	0	0	9.36206934338806e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7865949852495e-05	0.000144228740639673	0	0	0	1.10096997202607e-05	0	5.54889765026727e-06
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Christensenellales|family_f__CAG-74|genus_g__Limiplasma|species_s__Limiplasma sp900548145	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000064|family_3000185|genus_3001184|species_3015564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21783897233142e-06	0	3.14638663557624e-05	0	0	4.83442242460091e-06	0	0	0	6.58028658080232e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.10236435709353e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74755401058563e-05	0	4.07760622302279e-05	0	0	0	0	0	9.28832127322084e-05	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Lachnospirales|family_f__Lachnospiraceae|genus_g__Eubacterium_G|species_s__Eubacterium_G sp900550135	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000007|family_3000008|genus_3001357|species_3015568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24423866746902e-06	2.30926507891401e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Lachnospirales|family_f__Bianqueaceae|genus_g__Faecimorpha|species_s__Faecimorpha stercoravium	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000007|family_3004172|genus_3010133|species_3015599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74540413057424e-06	0	1.1077585683601e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11121055112212e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94484248234324e-05	1.82088782513209e-05
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__UBA1212|family_f__UBA1255|genus_g__UMGS1851|species_s__UMGS1851 sp900555605	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3004987|family_3004988|genus_3015601|species_3015602	0	0	0	0	0	0	0	0	0	0	0	1.06258650137939e-06	0	2.34499148030142e-06	0	0	0	0	0	0	0	8.55622373986377e-06	0	0	0	7.64466053391087e-07	0	0	0	0	0	0	0	0	0	0	0	0	1.48044741722786e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01182164682201e-06	0	0	0	0	0	0	0	0	0	0.000172226496382377
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacteroidota|class_c__Bacteroidia|order_o__Bacteroidales|family_f__UBA932|genus_g__Cryptobacteroides|species_s__Cryptobacteroides sp900546925	root_1|no rank_131567|superkingdom_2|phylum_3000093|class_3000094|order_3000095|family_3000193|genus_3000194|species_3015605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06953977674554e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Oscillospirales|family_f__Oscillospiraceae|genus_g__CAG-170|species_s__CAG-170 sp934613505	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000012|family_3000160|genus_3000291|species_3015607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96019385412964e-05	0	0	0	0	4.66596875852064e-06	0	8.5870019377972e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77855821424371e-06	0	0	5.52982288254206e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85863885920362e-05	0	0	0	0	0	9.81602401395459e-05	6.42001293890621e-05
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Lachnospirales|family_f__Lachnospiraceae|genus_g__Roseburia|species_s__Roseburia inulinivorans	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000007|family_3000008|genus_3002302|species_3015611	0	0	0	0	0	4.92218854290925e-05	0	0	0	3.56591006886582e-05	0	4.81364408584938e-06	0	1.16057616125428e-05	0	9.33956894323877e-06	0.000163694338464672	0.00106881159986665	0.000457721661496672	0.00045008169513388	0.000577479364639789	0.00176912837803326	0.000406751591597774	0	0.000366916935767706	0	0	0	0	2.90295641815477e-06	0	0	0	0	5.61223974144998e-05	6.5538935650823e-05	0	0	8.20758181947828e-06	0	0	0	0	0	0	0	7.50531577315309e-05	0	0	0	3.37172359655554e-05	0	2.37925041177712e-06	0	0	1.83622802456705e-06	0	3.25693200752877e-05	0	0	0	0	3.23711366963428e-06	0	0	0	3.7715646823247e-05	5.02514623501251e-06	0	0	0.000545190942893436	8.14185670810905e-05	0	1.52692456353644e-05	0	0	0	0	0	0	0	0	0	0	1.73359255334739e-05	0	0	6.37496611503689e-06	7.97878945489645e-07	0	0	0	0	0	0.000238526431204925	4.58854766075004e-06	0	8.03942732790995e-05	5.07899127999952e-05	2.41724888323377e-06	0	0	9.48913268872671e-05	5.55437647551112e-05	0	0.000220713976179278	0	0	0	6.33346248469857e-06	0	3.09090059241869e-05	0.000110001223698776	8.58239989315443e-06	0	0	6.60060611814613e-05	0	0	0	0	0.000161433751599267	0	0	0	0	0	0	0	1.35270430918418e-05	0.00143288771904578	0.000519978066156165	0.00123290028681639	0.00258961219307523	0.00154596888845833	0.00132327774174026	0.00198482811753311	0.00187356510251463	0.00103201805486205	0.00356328860646732
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota|class_c__Bacilli|order_o__RF39|family_f__UBA660|genus_g__UMGS995|species_s__UMGS995 sp900547465	root_1|no rank_131567|superkingdom_2|phylum_3000052|class_3000053|order_3000371|family_3000372|genus_3008545|species_3015678	1.30163044005035e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.91422385312627e-06	0	0	0	0	0	0	2.75978583584652e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61326627496316e-06	0	0	0	0	1.65575996775861e-05	0	1.57321480216463e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54034091766894e-06	0	0	0	0	0	0.00010419191168956	0	0	0	0	0	0	0	0	1.10382191727801e-06	1.54087129469506e-06	0	2.5521705681115e-05	2.18537092475724e-05	0	0	3.58180330178314e-05	0	1.16004116001321e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00352101153966e-05	0	0	0	5.82392671247343e-07	0	0	0	0	0	0	4.22067812640662e-06	0	0	0	0	0	0	0	0.000119980402648625	0	0	0	0	0	0	0.000106445276854757	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Oscillospirales|family_f__Oscillospiraceae|genus_g__Lawsonibacter|species_s__Lawsonibacter sp014287875	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000012|family_3000160|genus_3000686|species_3015685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19487797626662e-05	0	0.000101480875968832	6.23681369331707e-05	0	0.000200369163197282	3.20334493640215e-05	1.08269948779392e-05	0	2.78046146878707e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18966812649301e-05	0	1.05449040696916e-05	0	0	0	4.24142073599043e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000116837489276991	0.000160697522607034	0	0.000144475900929721	0	0	0.000105820188576848	0.000114676310112877
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Lachnospirales|family_f__Lachnospiraceae|genus_g__Anaerostipes|species_s__Anaerostipes hadrus_A	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000007|family_3000008|genus_3000026|species_3015692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3917844470608e-06	0	0.000136228987677936	0	0	0	0	0	0	1.00667212680747e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0779900955937e-05	0	1.53341672639114e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000135921798635463	0	8.43433695380755e-06	0	0	0	0	0	0	0	0	0	0	3.78716223527901e-05	0	0	1.25229875098364e-06	2.28529661342006e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.35036430661313e-06	1.01208773589767e-05	0	0	0	1.55269799845372e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000287105668470692	0	0.0003356860980237	0	0	0	0	0	0.000295400747150348	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Oscillospirales|family_f__Oscillospiraceae|genus_g__Dysosmobacter|species_s__Dysosmobacter sp900544615	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000012|family_3000160|genus_3000253|species_3015694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179734025882481	7.41491182216284e-06	0	1.88423452881156e-05	2.35453573521969e-05	0	0	3.15052551068178e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122062238593704	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Oscillospirales|family_f__Ruminococcaceae|genus_g__RGIG3102|species_s__RGIG3102 sp934526065	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000012|family_3000387|genus_3015708|species_3015709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57000395205975e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5502825062435e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000117599658722836	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Patescibacteria|class_c__Saccharimonadia|order_o__Saccharimonadales|family_f__Nanosynbacteraceae|genus_g__Nanosynbacter|species_s__Nanosynbacter sp900555425	root_1|no rank_131567|superkingdom_2|phylum_3000771|class_3000772|order_3000773|family_3000774|genus_3000775|species_3015726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.89234002705089e-06	0	0	0	0	0	0	0	5.95408111075953e-06	3.96009048047875e-05	0	0	0	8.83519475650524e-07	0	0	0	4.39431376847505e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02970389660515e-06	0	3.02273789521793e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83108834410202e-06	0	3.14510990133207e-05	0	6.46595669290139e-07	0	0	0	0	0	7.7478082592155e-07	0	0	0	2.13440228614807e-06	4.41160481303646e-06	0	0	0	0	0	0	0	0	0	4.38071076119751e-05	5.605609983336e-05	0.000258920723008926	7.15155881798567e-05	4.84047392168897e-05	3.45716965467347e-05	3.21488960070534e-06	1.71136993088477e-05	1.70763786516593e-05	0	0	0	0	0	0	0	0	0	2.07499742010877e-06	0	0	0	0	0	0	3.52704978901813e-06	0	0	6.7741170118189e-06	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Patescibacteria|class_c__Saccharimonadia|order_o__Saccharimonadales|family_f__Nanosynbacteraceae|genus_g__Nanosynbacter|species_s__MGYG000002976	root_1|no rank_131567|superkingdom_2|phylum_3000771|class_3000772|order_3000773|family_3000774|genus_3000775|species_3015729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.31166295162441e-06	0	0	0	0	0	0	0	2.37251218080741e-06	2.24225716176155e-05	0	0	0	0	0	0	0	2.22853838283057e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82312859935106e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.29998844154638e-07	0	0	0	1.80225534614061e-07	0	0	0	0	0	0	0	0	0	1.87915569835012e-06	1.68493057682797e-06	0	0	0	0	0	0	0	0	0	2.46079642017913e-05	4.07248400101615e-05	0.000170251904435495	4.64594037182345e-05	3.06877606151317e-05	1.92777717204454e-05	1.95308761423377e-06	1.12681365711864e-05	1.01785103975432e-05	0	0	0	0	0	0	0	0	0	9.0307017893165e-07	0	0	0	0	0	0	2.182577936134e-06	0	0	3.426273942001e-06	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Pseudomonadota|class_c__Gammaproteobacteria|order_o__Enterobacterales_A|family_f__Pasteurellaceae|genus_g__Haemophilus_D|species_s__Haemophilus_D parainfluenzae_N	root_1|no rank_131567|superkingdom_2|phylum_3000019|class_3000020|order_3000765|family_3003546|genus_3003547|species_3015740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22332831151994e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Bacillota_A|class_c__Clostridia|order_o__Oscillospirales|family_f__Ruminococcaceae|genus_g__Faecalibacterium|species_s__MGYG000000876	root_1|no rank_131567|superkingdom_2|phylum_3000000|class_3000001|order_3000012|family_3000387|genus_3000841|species_3015749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71939560472057e-06	0	9.68475822811586e-06	4.28199139015942e-05	9.89421821094585e-06	0	0	4.26798144755251e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0822885528329e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.21616597158832e-05	0	0	0	3.43291573610202e-05
root_root|no rank_cellular organisms|superkingdom_d__Bacteria|phylum_p__Pseudomonadota|class_c__Gammaproteobacteria|order_o__Enterobacterales_A|family_f__Pasteurellaceae|genus_g__Haemophilus_D|species_s__Haemophilus_D parainfluenzae_M	root_1|no rank_131567|superkingdom_2|phylum_3000019|class_3000020|order_3000765|family_3003546|genus_3003547|species_3015758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79214619236642e-05	0	5.58456794944258e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68165451796676e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16201213253667e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61137389545791e-06	0	0	0	6.45002788421462e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
