Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
AP7X04141F08	11927462	122269	11630551	296911
AP7X04221F09	15865170	84850	15662339	202831
AP7X04301G01	12632151	60631	12429462	202689
AP7X04321H04	9887543	166364	9648134	239409
C01X00183B04	13613909	174458	13411359	202550
C01X00952I08	11538858	76972	11373454	165404
C01X01083A06	11697257	97567	11575003	122254
C01X01123C01	13189584	83454	13045139	144445
C01X01283A04	10490147	9792	10447003	43144
C01X01542I09	12373491	36075	12195302	178189
C01X01723A08	10467238	88654	10288625	178613
C01X01943A03	4352779	35390	4285954	66825
C01X01953A05	9822232	132061	9631813	190419
C01X02043A01	12915886	118836	12626470	289416
C01X02093C02	16050745	173767	15785620	265125
C01X02343C03	14650442	198165	14314321	336121
C01X02483B06	12907784	149190	12649480	258304
C01X02613B05	16894502	140518	16564337	330165
C01X02853B01	11932365	141709	11685936	246429
C01X03002I07	11909849	74351	11535315	374534
C01X03063B02	12675517	10780	12607710	67807
C01X03433A07	10454589	92622	10310540	144049
C01X03483C04	14683019	118784	14407126	275893
C01X03532I06	11541337	36611	11381173	160164
C01X03622I03	11910821	98884	11715268	195553
C01X03673A09	7051292	34317	7001070	50222
C01X03913G01	12955175	72662	12770832	184343
C01X04143F07	13645645	35612	13570043	75602
C01X04222I04	11613290	18713	11503945	109345
C01X04303B03	13999830	80016	13807038	192792
C01X04323A02	14943343	105977	14674895	268448
C02X00183D02	13775774	155739	13524623	251151
C02X00953F03	17738974	22841	17622770	116204
C02X01083E09	12838920	234536	12567046	271874
C02X01123F06	14745081	243356	14438736	306345
C02X01282E08	10648561	25008	10567850	80711
C02X01343C06	14779167	101948	14572954	206213
C02X01542D07	14316276	73199	14096304	219972
C02X01723D01	12553902	240062	12001610	552292
C02X01793C08	13436097	43628	13314525	121572
C02X01942E04	14282591	32977	14161469	121122
C02X01952E06	13866536	133460	13635394	231142
C02X02042E07	13932178	74786	13680634	251544
C02X02093B09	10522474	40499	10329084	193390
C02X02343C07	14335851	102822	14059785	276066
C02X02483F02	16757785	138435	16533012	224773
C02X02613D03	13863793	291702	13396242	467551
C02X02853F05	14772376	171011	14474082	298294
C02X03002F03	13386939	71743	12997203	389736
C02X03063E08	14474538	691413	13719020	755518
C02X03372D08	12839624	35305	12723303	116321
C02X03433F04	8888536	74890	8715470	173066
C02X03482E05	13564714	31823	13403726	160988
C02X03532F02	22111031	127773	21903774	207257
C02X03622E03	13848660	89861	13700532	148128
C02X03673C09	13128337	160254	12923118	205219
C02X03913B08	15322188	35904	15172828	149360
C02X04142E02	13225231	52594	13049953	175278
C02X04222E09	15199844	45522	15079189	120655
C02X04302E01	15347640	83164	15080348	267292
C02X04323F01	14091676	172334	13820994	270682
C03X00183E03	12878781	66988	12765422	113359
C03X00953B07	16984099	51167	16847805	136294
C03X01082C06	10546802	93861	10428435	118367
C03X01123E07	11687482	44548	11571762	115720
C03X01283D08	12306643	92517	12146276	160367
C03X01342C02	13122032	88368	12909007	213025
C03X01542C07	14144829	58406	13900442	244387
C03X01793D09	8170295	306802	7822824	347471
C03X01942D01	15216799	46159	15048526	168273
C03X01952D04	14802738	146577	14581925	220813
C03X02042C03	15126477	827315	14157159	969318
C03X02093E02	14982597	136056	14713586	269011
C03X02342B07	18071809	54274	17899525	172284
C03X02483D05	12488167	23100	12415309	72858
C03X02612D03	12626414	18779	12479600	146814
C03X03003D06	11765180	66267	11505765	259415
C03X03063E01	13214713	173240	12975220	239493
C03X03372D02	11980238	141064	11790080	190158
C03X03432B08	12013366	55140	11888867	124499
C03X03483E05	14929158	48909	14790833	138325
C03X03533E04	11539798	120801	11272287	267511
C03X03622D06	11249572	52296	11131452	118120
C03X03673D04	11190881	46574	11124952	65929
C03X03912C05	13894333	64278	13696546	197787
C03X04142C09	14320655	59046	14105868	214787
C03X04222B09	11026739	22530	10907933	118806
C03X04302C01	15051747	79588	14755829	295918
C03X04322C08	14123189	18403	13962704	160485
C06X001804D9	16802362	93172	16155727	646635
C06X009505A5	13743561	17464	13692966	50595
C06X010804D3	13850150	83361	13669627	180523
C06X011205C1	16251546	400989	15703410	548136
C06X012804E9	17901984	69839	17746077	155907
C06X013428B7	8727785	46935	8614933	112852
C06X015405B5	16566774	76072	16290167	276607
C06X017203G9	24186902	383465	23714800	472102
C06X017904A3	14341318	35829	14224174	117144
C06X019404E6	14918061	49586	14744325	173736
C06X019504D6	17906825	111542	17704587	202238
C06X020404C6	19974824	160094	19741561	233263
C06X020903I6	16948145	129745	16723900	224245
C06X023427I1	16653941	245914	16180734	473207
C06X024804E3	17358609	82665	17217105	141504
C06X026103I9	4951222	2470	4922686	28536
C06X028505D1	17848849	20867	17779814	69035
C06X030004I6	13223083	41344	12917662	305421
C06X030603H3	15870911	27149	15768764	102147
C06X033728C1	11380558	82555	11213515	167043
