Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
SRR8653014	1325209	204085	1106450	218759
SRR8653015	2563412	201838	1035376	1528036
SRR8653016	899349	186589	697967	201382
SRR8653018	1378235	400212	974717	403518
SRR8653019	3154609	2455	3117332	37277
SRR8653020	2739135	424923	2030258	708877
SRR8653021	3060062	437299	2527382	532680
SRR8653022	2045613	27349	1960940	84673
SRR8653023	1057196	16097	985525	71671
SRR8653024	2302575	232328	1928167	374408
SRR8653025	3097733	341616	2681134	416599
SRR8653026	2799402	677448	2067437	731965
SRR8653027	2345340	341644	1473029	872311
SRR8653028	1127668	8603	1108547	19121
SRR8653029	2402609	295820	1807557	595052
SRR8653030	2161107	78868	2012313	148794
SRR8653031	1681161	130085	1486615	194546
SRR8653032	3787869	73148	3630707	157162
SRR8653035	4937962	175768	4614744	323218
SRR8653036	1515113	66403	1399636	115477
SRR8653037	548016	83978	445802	102214
SRR8653039	3570038	68614	3425370	144668
SRR8653040	199412	14654	182295	17117
SRR8653048	695038	28783	139991	555047
SRR8653049	2662699	36530	2052743	609956
SRR8653050	1177428	891368	219996	957432
SRR8653053	2136189	7639	506397	1629792
SRR8653054	3754182	19124	324448	3429734
SRR8653056	1807027	265073	22159	1784868
SRR8653057	3097159	18918	541622	2555537
SRR8653058	2579301	13842	1656928	922373
SRR8653059	1844869	42904	1054651	790218
SRR8653063	1790061	4687	93725	1696336
SRR8653065	1387065	472	1383612	3453
SRR8653066	1327739	3064	1306494	21245
SRR8653067	1298300	199	1274936	23364
SRR8653068	1263739	253	1258350	5389
SRR8653069	1950777	18286	400865	1549912
SRR8653071	1397153	83712	1229150	168003
SRR8653072	1225820	19442	1155637	70183
SRR8653073	6208701	175235	5911824	296877
SRR8653074	5254884	117750	4968450	286434
SRR8653075	4743132	207122	4150116	593016
SRR8653076	3235032	987545	1140323	2094709
SRR8653077	1423864	963866	421643	1002221
SRR8653078	6091512	240094	5506282	585230
SRR8653079	1252476	305128	941673	310803
SRR8653080	5937928	49228	5714648	223280
SRR8653081	8147909	361755	7391240	756669
SRR8653082	6150809	19427	6099994	50815
SRR8653083	764585	262811	467842	296743
SRR8653084	3662698	248732	3284937	377761
SRR8653085	699389	47694	628048	71341
SRR8653086	1647046	1230621	404551	1242495
SRR8653087	5268701	287721	4778186	490515
SRR8653088	3343555	66348	3190190	153365
SRR8653089	2349552	21634	2290488	59064
SRR8653090	1297908	28342	1230253	67655
SRR8653091	373206	44179	317354	55852
SRR8653092	443025	40420	384401	58624
SRR8653093	2117798	78048	1982952	134846
SRR8653094	349408	25987	320674	28734
SRR8653095	262993	21186	236047	26946
SRR8653097	1717908	89133	1589263	128645
SRR8653098	3600361	1363676	258008	3342353
SRR8653099	1420294	226059	1114391	305903
SRR8653100	919027	157745	722496	196531
SRR8653101	1123726	9582	161316	962410
SRR8653103	2387788	575042	1802837	584951
SRR8653105	2719618	742638	1966870	752748
SRR8653106	3684958	729144	2921904	763054
SRR8653107	2682254	759337	1912860	769394
SRR8653108	2318331	520080	1792205	526126
SRR8653109	3156162	453805	2500894	655268
SRR8653110	2027370	401795	1588369	439001
SRR8653111	4139673	54713	3958080	181593
SRR8653112	3248361	153321	2714196	534165
SRR8653120	1966272	273677	1470	1964802
SRR8653123	275525	18010	229214	46311
SRR8653126	1266756	35370	1194316	72440
SRR8653127	5498557	293329	4733225	765332
SRR8653128	2408168	674490	257736	2150432
SRR8653132	5571108	347540	5213226	357882
SRR8653133	6915368	307423	6249109	666259
SRR8653134	5041040	163356	4521661	519379
SRR8653135	4410615	3157226	485156	3925459
SRR8653138	5770704	229400	5436802	333902
SRR8653139	5528586	360671	4690171	838415
SRR8653140	2762289	24876	2550499	211790
SRR8653141	2833856	6268	435564	2398292
SRR8653142	954852	69738	874052	80800
SRR8653143	2747208	11169	143025	2604183
SRR8653144	2506883	67273	260907	2245976
SRR8653145	1512463	207249	1087394	425069
SRR8653146	2637104	66629	442223	2194881
SRR8653147	2572139	846134	394571	2177568
SRR8653148	2652804	13342	2495220	157584
SRR8653149	2572560	24688	239907	2332653
SRR8653150	3393211	1280316	247168	3146043
SRR8653151	4888269	60175	4673633	214636
SRR8653152	3634434	14096	3605269	29165
SRR8653153	2412360	78790	2207621	204739
SRR8653154	3318736	230384	3039873	278863
SRR8653155	1836236	56220	1720114	116122
SRR8653156	3110687	50422	2981052	129635
SRR8653157	2286966	273505	1840577	446389
SRR8653158	3437790	727668	2658369	779421
SRR8653159	2708347	16527	2670134	38213
SRR8653160	1991897	252958	1688679	303218
SRR8653161	622148	149882	242333	379815
SRR8653162	1632850	182335	1284404	348446
SRR8653163	1042764	143285	571347	471417
SRR8653164	824417	51062	712306	112111
SRR8653166	1788279	1639632	135689	1652590
SRR8653167	3923471	17413	2570806	1352665
SRR8653168	3468880	26462	202788	3266092
SRR8653169	1092801	6017	57146	1035655
SRR8653170	1192598	4328	66660	1125938
SRR8653176	1546011	2448	4953	1541058
SRR8653179	3366077	165472	3166797	199280
SRR8653180	2410736	115986	2216095	194641
SRR8653181	3898272	57128	3752510	145762
SRR8653182	2717149	33592	2428896	288253
SRR8653183	4627486	33931	4549369	78117
SRR8653184	2448744	122687	2225187	223557
SRR8653185	1899917	34882	1689464	210453
SRR8653186	2540403	149993	2331346	209057
SRR8653187	2322321	30192	2259328	62993
SRR8653188	1783604	49494	1702345	81259
SRR8653189	2968865	76951	2838422	130443
SRR8653190	3218516	10566	3188807	29709
SRR8653191	2693120	49880	2587403	105717
SRR8653192	2065427	60268	1889307	176120
SRR8653193	3397566	6116	3378269	19297
SRR8653194	3356142	293134	2954938	401204
SRR8653195	2320461	209806	2063106	257355
SRR8653196	2169116	226722	1909515	259601
SRR8653197	2131008	200961	1919091	211917
SRR8653198	2348143	100671	2145359	202784
SRR8653199	4903987	1165291	2172089	2731898
SRR8653203	3414080	1270326	232095	3181985
SRR8653205	1270402	196716	448249	822153
SRR8653211	1941922	45804	127672	1814250
SRR8653214	3274151	101240	3099844	174307
SRR8653215	3043692	82949	2893506	150186
SRR8653216	1268845	927004	231225	1037620
SRR8653217	1886955	59123	1795351	91604
SRR8653218	2830301	107148	2672128	158173
SRR8653219	712502	55083	628782	83720
SRR8653220	4600568	196338	4287714	312854
SRR8653221	3364166	107610	3128338	235828
SRR8653222	665258	21812	632122	33136
SRR8653223	3374938	161182	3137444	237494
SRR8653224	239841	11529	225351	14490
SRR8653226	214728	19136	193132	21596
SRR8653230	4649765	1327536	1321274	3328491
SRR8653231	383092	136457	236344	146748
SRR8653232	1160700	962718	109420	1051280
SRR8653233	5927457	219851	5140278	787179
SRR8653234	5419126	304300	5044016	375110
SRR8653235	5598186	37299	5427786	170400
SRR8653236	4476578	1823048	2260646	2215932
SRR8653237	3279343	1159262	365360	2913983
SRR8653238	486001	332109	139429	346572
SRR8653239	6127773	103525	5879028	248745
SRR8653240	2157599	158173	1888007	269592
SRR8653241	3098740	107824	2917208	181532
SRR8653242	3887095	272048	3496811	390284
SRR8653245	3082817	87502	2931236	151581
SRR8653247	2469922	116263	2277251	192671
SRR8653248	1904897	40535	1829981	74916
SRR8653249	3851278	85965	3662730	188548
SRR8653251	1818720	51533	1705032	113688
SRR8653252	1948195	78478	1860787	87408
SRR8653254	2531601	43819	187979	2343622
SRR8653255	1510714	250336	1241667	269047
SRR8653256	2316908	1632	1753124	563784
SRR8653257	835113	39005	795190	39923
SRR8653258	2078544	191506	180797	1897747
SRR8653259	1958055	216195	142265	1815790
SRR8653262	3494977	1351165	126317	3368660
SRR8653264	5081932	4268512	32765	5049167
SRR8653265	1953582	210780	1346532	607050
SRR8653266	3708116	113897	3450397	257719
SRR8653267	2212550	290394	1798864	413686
SRR8653268	2959491	126175	2635803	323688
SRR8653269	2665524	24798	2539962	125562
SRR8653270	2312426	7890	2266443	45983
SRR8653271	5225139	83279	5120777	104362
SRR8653272	2591225	40198	2539358	51867
SRR8653273	2149217	108916	1926497	222720
SRR8653274	788400	2517	761101	27299
SRR8653276	2682472	104905	2502513	179959
SRR8653287	4850578	112611	4619739	230839
SRR8800141	1616434	303755	1086567	529867
SRR8800142	1432171	531674	337117	1095054
SRR8800144	1451520	52131	1149655	301865
SRR8800145	1698778	247066	1350232	348546
SRR8800146	1804227	308412	1319523	484704
SRR8800147	1561680	179821	1047327	514353
SRR8800148	1065882	22942	940850	125032
SRR8800150	1526925	105886	1327518	199407
SRR8800151	1409915	110521	1165924	243991
SRR8800152	1557452	39100	1463059	94393
SRR8800153	1975341	291669	1407366	567975
SRR8800154	1498937	99731	1190869	308068
SRR8800155	2105711	116129	1819839	285872
SRR8800156	1406032	98904	1193745	212287
SRR8800157	1796624	102127	1509444	287180
SRR8800158	1515908	245553	726727	789181
SRR8800159	1895048	35149	1775736	119312
SRR8800160	1551396	84658	1231870	319526
SRR8800161	1448918	17488	1358931	89987
SRR8800162	1037053	15745	774760	262293
SRR8800163	1668298	31505	1512321	155977
SRR9660135	382078	21044	314580	67498
SRR9660148	826171	36595	707286	118885
SRR9660154	1335846	7520	1321598	14248
